Track Name,Artist Name(s),Album Name,Popularity,Energy,Tempo
I Don't Care (with Justin Bieber),"Ed Sheeran & Justin Bieber, Justin Bieber",No.6 Collaborations Project,73,0.676,101.956
Fox On The Run,Manfred Mann,Fox On The Run / Too Many People,47,0.733,97.497
80s Mercedes,Maren Morris,Maren Morris - EP,0,0.843,90.956
No Limit,2 Unlimited,No Limits,69,0.985,141.047
On Top,Johnny Ruffo,On Top,32,0.868,126.972
Glamorous,"Fergie, Ludacris",The Dutchess,68,0.757,130.993
Go All Night,"Gorgon City, Jennifer Hudson",Sirens (Deluxe),45,0.634,121.025
Lovelight,Robbie Williams,Lovelight,16,0.737,102.031
Baby It's You,The Shirelles,20 Greatest Hits,0,0.336,113.526
Thug Lovin',"Ja Rule, Bobby Brown",The Last Temptation,49,0.68,93.059
The Lies In Your Eyes,Sweet,Give Us A Wink,27,0.879,130.784
Layla,"Derek & The Dominos, Eric Clapton",The Cream Of Clapton,0,0.653,114.363
Alive - 2006 Remaster,P.O.D.,Greatest Hits (The Atlantic Years),61,0.952,80.899
This Girl Is a Woman Now,Gary Puckett & The Union Gap,Young Girl: The Best Of Gary Puckett & The Union Gap,32,0.486,101.334
Wake up,Benedict,Wake up,0,0.578,149.919
Little Children,"Billy J. Kramer, The Dakotas",EMI Legends Rock 'n' Roll Seris - The Definitive Collection,37,0.528,104.979
I Remember,"deadmau5, Kaskade",50 Best Trance Hits Ever,0,0.551,127.949
Reality - Radio Edit,"Lost Frequencies, Janieck Devy",Reality (Radio Edit),0,0.639,122.08
Love Sex Magic (feat. Justin Timberlake),"Ciara, Justin Timberlake",Fantasy Ride,61,0.666,107.011
(Can't Live Without Your) Love And Affection - Remastered 2017,Nelson,After The Rain (Remastered),53,0.904,121.386
Good Time,"Owl City, Carly Rae Jepsen",The Midsummer Station,0,0.878,126.045
Gangsta's Paradise (feat. L.V.),"Coolio, L.V.",Gangsta's Paradise,0,0.63,79.955
"American Woman - 7"" Single Version",The Guess Who,The Best Of The Guess Who,31,0.743,92.93
The Horses - 2017 Remastered,Daryl Braithwaite,Days Go By: The Definitive Greatest Hits Collection,26,0.475,94.016
This Is My Song,Harry Secombe,The Very Best Of,12,0.51,89.181
Oh Na Na,"Camila Cabello, Myke Towers, Tainy",Oh Na Na,62,0.862,115.021
Love in California,Rooftop Heroes,Love In California,12,0.89,199.385
Don't You Love Me Anymore,Joe Cocker,Cocker,0,0.831,81.465
True Faith,New Order,Substance,62,0.784,116.981
American Pie,Madonna,Music,62,0.734,124.036
Fire,Peking Duk,Reprisal,56,0.69,99.949
So Far Away (feat. Jamie Scott & Romy Dya),"Martin Garrix, David Guetta, Jamie Scott, Romy Dya",So Far Away (feat. Jamie Scott & Romy Dya),70,0.52,149.119
The Mack,"Nevada, Mark Morrison, Fetty Wap",The Mack,0,0.883,106.031
In Your Eyes,The Weeknd,After Hours,81,0.719,100.021
Señorita,Justin Timberlake,Justified,70,0.63,97.964
Heather,Conan Gray,Kid Krow,89,0.425,102.078
Break Ya Neck,Busta Rhymes,Genesis,0,0.809,83.011
Beautiful Girls,Sean Kingston,Beautiful Girls,82,0.661,130.009
What Do You Mean?,Justin Bieber,Purpose (Deluxe),0,0.567,125.02
Comin' Home,The Radiators,Feel The Heat,49,0.797,82.328
Only Thing Missing,Guy Sebastian,T. R. U. T. H.,36,0.719,94.956
You Must Have Been a Beautiful Baby,Bobby Darin,The Ultimate Bobby Darin,24,0.549,134.563
April Sun in Cuba,Dragon,Running Free,62,0.552,121.422
Never Can Say Goodbye,The Communards,Red,0,0.869,132.172
Firefly,Ed Sheeran,Loose Change,48,0.31,159.917
Sharing The Night Together,Dr. Hook,Pleasure & Pain,68,0.686,76.923
With Or Without You,U2,The Joshua Tree,0,0.353,109.888
Have A Look,Vanessa Amorosi,The Best Of Vanessa Amorosi,11,0.9,95.031
Versace on the Floor,Bruno Mars,24K Magic,79,0.574,174.152
Simple Man,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,78,0.752,120.471
Riders on the Storm,The Doors,L.A. Woman,76,0.722,103.886
Just A Song About Ping Pong,Operator Please,Yes Yes Vindictive,33,0.807,136.303
Objection (Tango),Shakira,Laundry Service,59,0.864,179.391
White Room,Cream,Wheels Of Fire,73,0.576,109.827
Treaty - Radio Mix,Yothu Yindi,Tribal Voice,51,0.849,122.308
Shes So Fine,The Easybeats,Easy,38,0.726,166.352
Down With The Trumpets,Rizzle Kicks,Stereo Typical,0,0.877,115.021
Can't You Hear My Heartbeat,Herman's Hermits,"A's, B's & EP's",33,0.691,136.817
Randy Scouse Git,The Monkees,The Best of The Monkees,32,0.585,101.733
This Is America,Childish Gambino,This Is America,0,0.463,120.024
Sing For The Moment,Eminem,The Eminem Show,0,0.818,164.078
Rhythm of the Rain,The Cascades,Rhythm Of The Rain,64,0.66,116.634
7 Seconds (feat. Neneh Cherry),"Youssou N'Dour, Neneh Cherry",7 Seconds: The Best Of Youssou N'Dour,62,0.702,154.198
Sex (Cheat Codes X Kris Kross Amsterdam),"Cheat Codes, Kris Kross Amsterdam",Sex (Cheat Codes X Kris Kross Amsterdam),0,0.692,102.42
Good Old Days (feat. Kesha),"Macklemore, Kesha",GEMINI,74,0.51,122.964
Red Red Wine,UB40,Labour Of Love,63,0.363,89.157
Take It to the Limit - 2013 Remaster,Eagles,One of These Nights (2013 Remaster),68,0.423,91.137
I'm All Yours,"Jay Sean, Pitbull",I'm All Yours,0,0.886,128.027
Careless Whisper - Remastered,George Michael,Twenty Five,57,0.641,76.59
Since U Been Gone,Kelly Clarkson,Breakaway,76,0.741,131
I Won't Let You Go,James Morrison,The Awakening,0,0.602,106.028
On Top Of The World,Imagine Dragons,Night Visions (Deluxe),73,0.926,100.048
Move,Baker Boy,Move,0,0.89,100.995
Escaping,Margaret Urlich,Safety In Numbers,39,0.714,172.043
Lovin' You,Minnie Riperton,Perfect Angel,63,0.164,72.029
Our Perfect Disease,The Wombats,The Wombats Proudly Present... This Modern Glitch,41,0.872,143.03
Pick up Your Tricks,Amy Meredith,Maps,12,0.867,104.99
No Sense - 2011 Remastered,Cold Chisel,The Complete Cold Chisel,0,0.933,106.241
I Am...I Said - Single Version,Neil Diamond,Stones,0,0.379,90.422
I Feel Fine - Remastered 2009,The Beatles,Past Masters (Vols. 1 & 2 / Remastered),40,0.788,90.138
(Dancin’) On A Saturday Night,Barry Blue,Greatest,42,0.79,124.355
Silence Is Golden,The Tremeloes,Love Songs,55,0.565,112.169
